YYYYMMDD,19760923
MM-YYYY-DDThhmmss-hhmm,09-1976-23T111111-1111
MM-YYYY-DDThhmmss-hh,09-1976-23T111111-11
MM-YYYY-DD hhmmssZ,09-1976-23 111111Z
MM-YYYY-DD hhmmss+hh:mm,09-1976-23 111111+11:11
MM-YYYY-DD hhmmss+hhmm,09-1976-23 111111+1111
MM-YYYY-DD hhmmss+hh,09-1976-23 111111+11
MM-YYYY-DD hhmmss-hh:mm,09-1976-23 111111-11:11
MM-YYYY-DD hhmmss-hhmm,09-1976-23 111111-1111
MM-YYYY-DD hhmmss-hh,09-1976-23 111111-11
MM-YYYY-DDThhmmss.sssZ,09-1976-23T111111.888Z
MM-YYYY-DDThhmmss.sss+hh:mm,09-1976-23T111111.888+11:11
MM-YYYY-DDThhmmss.sss+hhmm,09-1976-23T111111.888+1111
MM-YYYY-DDThhmmss.sss+hh,09-1976-23T111111.888+11
MM-YYYY-DDThhmmss.sss-hh:mm,09-1976-23T111111.888-11:11
MM-YYYY-DDThhmmss.sss-hhmm,09-1976-23T111111.888-1111
MM-YYYY-DDThhmmss.sss-hh,09-1976-23T111111.888-11
MM-YYYY-DD hhmmss.sssZ,09-1976-23 111111.888Z
MM-YYYY-DD hhmmss.sss+hh:mm,09-1976-23 111111.888+11:11
MM-YYYY-DD hhmmss.sss+hhmm,09-1976-23 111111.888+1111
MM-YYYY-DD hhmmss.sss+hh,09-1976-23 111111.888+11
MM-YYYY-DD hhmmss.sss-hh:mm,09-1976-23 111111.888-11:11
MM-YYYY-DD hhmmss.sss-hhmm,09-1976-23 111111.888-1111
MM-YYYY-DD hhmmss.sss-hh,09-1976-23 111111.888-11
MM-YYYY-DDThh:mmZ,09-1976-23T11:11Z
MM-YYYY-DDThh:mm+hh:mm,09-1976-23T11:11+11:11
MM-YYYY-DDThh:mm+hhmm,09-1976-23T11:11+1111
MM-YYYY-DDThh:mm+hh,09-1976-23T11:11+11
MM-YYYY-DDThh:mm-hh:mm,09-1976-23T11:11-11:11
MM-YYYY-DDThh:mm-hhmm,09-1976-23T11:11-1111
MM-YYYY-DDThh:mm-hh,09-1976-23T11:11-11
MM-YYYY-DD hh:mmZ,09-1976-23 11:11Z
MM-YYYY-DD hh:mm+hh:mm,09-1976-23 11:11+11:11
MM-YYYY-DD hh:mm+hhmm,09-1976-23 11:11+1111
MM-YYYY-DD hh:mm+hh,09-1976-23 11:11+11
MM-YYYY-DD hh:mm-hh:mm,09-1976-23 11:11-11:11
MM-YYYY-DD hh:mm-hhmm,09-1976-23 11:11-1111
MM-YYYY-DD hh:mm-hh,09-1976-23 11:11-11
MM-YYYY-DDThh:mm:ssZ,09-1976-23T11:11:11Z
MM-YYYY-DDThh:mm:ss+hh:mm,09-1976-23T11:11:11+11:11
MM-YYYY-DDThh:mm:ss+hhmm,09-1976-23T11:11:11+1111
MM-YYYY-DDThh:mm:ss+hh,09-1976-23T11:11:11+11
MM-YYYY-DDThh:mm:ss-hh:mm,09-1976-23T11:11:11-11:11
MM-YYYY-DDThh:mm:ss-hhmm,09-1976-23T11:11:11-1111
MM-YYYY-DDThh:mm:ss-hh,09-1976-23T11:11:11-11
MM-YYYY-DD hh:mm:ssZ,09-1976-23 11:11:11Z
MM-YYYY-DD hh:mm:ss+hh:mm,09-1976-23 11:11:11+11:11
MM-YYYY-DD hh:mm:ss+hhmm,09-1976-23 11:11:11+1111
MM-YYYY-DD hh:mm:ss+hh,09-1976-23 11:11:11+11
MM-YYYY-DD hh:mm:ss-hh:mm,09-1976-23 11:11:11-11:11
MM-YYYY-DD hh:mm:ss-hhmm,09-1976-23 11:11:11-1111
MM-YYYY-DD hh:mm:ss-hh,09-1976-23 11:11:11-11
MM-YYYY-DDThh:mm:ss.sssZ,09-1976-23T11:11:11.888Z
MM-YYYY-DDThh:mm:ss.sss+hh:mm,09-1976-23T11:11:11.888+11:11
MM-YYYY-DDThh:mm:ss.sss+hhmm,09-1976-23T11:11:11.888+1111
MM-YYYY-DDThh:mm:ss.sss+hh,09-1976-23T11:11:11.888+11
MM-YYYY-DDThh:mm:ss.sss-hh:mm,09-1976-23T11:11:11.888-11:11
MM-YYYY-DDThh:mm:ss.sss-hhmm,09-1976-23T11:11:11.888-1111
MM-YYYY-DDThh:mm:ss.sss-hh,09-1976-23T11:11:11.888-11
MM-YYYY-DD hh:mm:ss.sssZ,09-1976-23 11:11:11.888Z
MM-YYYY-DD hh:mm:ss.sss+hh:mm,09-1976-23 11:11:11.888+11:11
MM-YYYY-DD hh:mm:ss.sss+hhmm,09-1976-23 11:11:11.888+1111
MM-YYYY-DD hh:mm:ss.sss+hh,09-1976-23 11:11:11.888+11
MM-YYYY-DD hh:mm:ss.sss-hh:mm,09-1976-23 11:11:11.888-11:11
MM-YYYY-DD hh:mm:ss.sss-hhmm,09-1976-23 11:11:11.888-1111
MM-YYYY-DD hh:mm:ss.sss-hh,09-1976-23 11:11:11.888-11
MMDDYYYYThhZ,09231976T11Z
MMDDYYYYThh+hh:mm,09231976T11+11:11
MMDDYYYYThh+hhmm,09231976T11+1111
MMDDYYYYThh+hh,09231976T11+11
MMDDYYYYThh-hh:mm,09231976T11-11:11
MMDDYYYYThh-hhmm,09231976T11-1111
MMDDYYYYThh-hh,09231976T11-11
MMDDYYYY hhZ,09231976 11Z
MMDDYYYY hh+hh:mm,09231976 11+11:11
MMDDYYYY hh+hhmm,09231976 11+1111
MMDDYYYY hh+hh,09231976 11+11
MMDDYYYY hh-hh:mm,09231976 11-11:11
MMDDYYYY hh-hhmm,09231976 11-1111
MMDDYYYY hh-hh,09231976 11-11
MMDDYYYYThhmmZ,09231976T1111Z
MMDDYYYYThhmm+hh:mm,09231976T1111+11:11
MMDDYYYYThhmm+hhmm,09231976T1111+1111
MMDDYYYYThhmm+hh,09231976T1111+11
MMDDYYYYThhmm-hh:mm,09231976T1111-11:11
MMDDYYYYThhmm-hhmm,09231976T1111-1111
MMDDYYYYThhmm-hh,09231976T1111-11
MMDDYYYY hhmmZ,09231976 1111Z
MMDDYYYY hhmm+hh:mm,09231976 1111+11:11
MMDDYYYY hhmm+hhmm,09231976 1111+1111
MMDDYYYY hhmm+hh,09231976 1111+11
MMDDYYYY hhmm-hh:mm,09231976 1111-11:11
MMDDYYYY hhmm-hhmm,09231976 1111-1111
MMDDYYYY hhmm-hh,09231976 1111-11
MMDDYYYYThhmmssZ,09231976T111111Z
MMDDYYYYThhmmss+hh:mm,09231976T111111+11:11
MMDDYYYYThhmmss+hhmm,09231976T111111+1111
MMDDYYYYThhmmss+hh,09231976T111111+11
MMDDYYYYThhmmss-hh:mm,09231976T111111-11:11
MMDDYYYYThhmmss-hhmm,09231976T111111-1111
MMDDYYYYThhmmss-hh,09231976T111111-11
MMDDYYYY hhmmssZ,09231976 111111Z
MMDDYYYY hhmmss+hh:mm,09231976 111111+11:11
MMDDYYYY hhmmss+hhmm,09231976 111111+1111
MMDDYYYY hhmmss+hh,09231976 111111+11
MMDDYYYY hhmmss-hh:mm,09231976 111111-11:11
MMDDYYYY hhmmss-hhmm,09231976 111111-1111
MMDDYYYY hhmmss-hh,09231976 111111-11
MMDDYYYYThhmmss.sssZ,09231976T111111.888Z
MMDDYYYYThhmmss.sss+hh:mm,09231976T111111.888+11:11
MMDDYYYYThhmmss.sss+hhmm,09231976T111111.888+1111
MMDDYYYYThhmmss.sss+hh,09231976T111111.888+11
MMDDYYYYThhmmss.sss-hh:mm,09231976T111111.888-11:11
MMDDYYYYThhmmss.sss-hhmm,09231976T111111.888-1111
MMDDYYYYThhmmss.sss-hh,09231976T111111.888-11
MMDDYYYY hhmmss.sssZ,09231976 111111.888Z
MMDDYYYY hhmmss.sss+hh:mm,09231976 111111.888+11:11
MMDDYYYY hhmmss.sss+hhmm,09231976 111111.888+1111
MMDDYYYY hhmmss.sss+hh,09231976 111111.888+11
MMDDYYYY hhmmss.sss-hh:mm,09231976 111111.888-11:11
MMDDYYYY hhmmss.sss-hhmm,09231976 111111.888-1111
MMDDYYYY hhmmss.sss-hh,09231976 111111.888-11
MMDDYYYYThh:mmZ,09231976T11:11Z
MMDDYYYYThh:mm+hh:mm,09231976T11:11+11:11
MMDDYYYYThh:mm+hhmm,09231976T11:11+1111
MMDDYYYYThh:mm+hh,09231976T11:11+11
MMDDYYYYThh:mm-hh:mm,09231976T11:11-11:11
MMDDYYYYThh:mm-hhmm,09231976T11:11-1111
MMDDYYYYThh:mm-hh,09231976T11:11-11
MMDDYYYY hh:mmZ,09231976 11:11Z
MMDDYYYY hh:mm+hh:mm,09231976 11:11+11:11
MMDDYYYY hh:mm+hhmm,09231976 11:11+1111
MMDDYYYY hh:mm+hh,09231976 11:11+11
MMDDYYYY hh:mm-hh:mm,09231976 11:11-11:11
MMDDYYYY hh:mm-hhmm,09231976 11:11-1111
MMDDYYYY hh:mm-hh,09231976 11:11-11
MMDDYYYYThh:mm:ssZ,09231976T11:11:11Z
MMDDYYYYThh:mm:ss+hh:mm,09231976T11:11:11+11:11
MMDDYYYYThh:mm:ss+hhmm,09231976T11:11:11+1111
MMDDYYYYThh:mm:ss+hh,09231976T11:11:11+11
MMDDYYYYThh:mm:ss-hh:mm,09231976T11:11:11-11:11
MMDDYYYYThh:mm:ss-hhmm,09231976T11:11:11-1111
MMDDYYYYThh:mm:ss-hh,09231976T11:11:11-11
MMDDYYYY hh:mm:ssZ,09231976 11:11:11Z
MMDDYYYY hh:mm:ss+hh:mm,09231976 11:11:11+11:11
MMDDYYYY hh:mm:ss+hhmm,09231976 11:11:11+1111
MMDDYYYY hh:mm:ss+hh,09231976 11:11:11+11
MMDDYYYY hh:mm:ss-hh:mm,09231976 11:11:11-11:11
MMDDYYYY hh:mm:ss-hhmm,09231976 11:11:11-1111
MMDDYYYY hh:mm:ss-hh,09231976 11:11:11-11
MMDDYYYYThh:mm:ss.sssZ,09231976T11:11:11.888Z
MMDDYYYYThh:mm:ss.sss+hh:mm,09231976T11:11:11.888+11:11
MMDDYYYYThh:mm:ss.sss+hhmm,09231976T11:11:11.888+1111
MMDDYYYYThh:mm:ss.sss+hh,09231976T11:11:11.888+11
MMDDYYYYThh:mm:ss.sss-hh:mm,09231976T11:11:11.888-11:11
MMDDYYYYThh:mm:ss.sss-hhmm,09231976T11:11:11.888-1111
MMDDYYYYThh:mm:ss.sss-hh,09231976T11:11:11.888-11
MMDDYYYY hh:mm:ss.sssZ,09231976 11:11:11.888Z
MMDDYYYY hh:mm:ss.sss+hh:mm,09231976 11:11:11.888+11:11
MMDDYYYY hh:mm:ss.sss+hhmm,09231976 11:11:11.888+1111
MMDDYYYY hh:mm:ss.sss+hh,09231976 11:11:11.888+11
MMDDYYYY hh:mm:ss.sss-hh:mm,09231976 11:11:11.888-11:11
MMDDYYYY hh:mm:ss.sss-hhmm,09231976 11:11:11.888-1111
MMDDYYYY hh:mm:ss.sss-hh,09231976 11:11:11.888-11
MM/DD/YYYYThhZ,09/23/1976T11Z
MM/DD/YYYYThh+hh:mm,09/23/1976T11+11:11
MM/DD/YYYYThh+hhmm,09/23/1976T11+1111
MM/DD/YYYYThh+hh,09/23/1976T11+11
MM/DD/YYYYThh-hh:mm,09/23/1976T11-11:11
MM/DD/YYYYThh-hhmm,09/23/1976T11-1111
MM/DD/YYYYThh-hh,09/23/1976T11-11
MM/DD/YYYY hhZ,09/23/1976 11Z
MM/DD/YYYY hh+hh:mm,09/23/1976 11+11:11
MM/DD/YYYY hh+hhmm,09/23/1976 11+1111
MM/DD/YYYY hh+hh,09/23/1976 11+11
MM/DD/YYYY hh-hh:mm,09/23/1976 11-11:11
MM/DD/YYYY hh-hhmm,09/23/1976 11-1111
MM/DD/YYYY hh-hh,09/23/1976 11-11
MM/DD/YYYYThhmmZ,09/23/1976T1111Z
MM/DD/YYYYThhmm+hh:mm,09/23/1976T1111+11:11
MM/DD/YYYYThhmm+hhmm,09/23/1976T1111+1111
MM/DD/YYYYThhmm+hh,09/23/1976T1111+11
MM/DD/YYYYThhmm-hh:mm,09/23/1976T1111-11:11
MM/DD/YYYYThhmm-hhmm,09/23/1976T1111-1111
MM/DD/YYYYThhmm-hh,09/23/1976T1111-11
MM/DD/YYYY hhmmZ,09/23/1976 1111Z
MM/DD/YYYY hhmm+hh:mm,09/23/1976 1111+11:11
MM/DD/YYYY hhmm+hhmm,09/23/1976 1111+1111
MM/DD/YYYY hhmm+hh,09/23/1976 1111+11
MM/DD/YYYY hhmm-hh:mm,09/23/1976 1111-11:11
MM/DD/YYYY hhmm-hhmm,09/23/1976 1111-1111
MM/DD/YYYY hhmm-hh,09/23/1976 1111-11
MM/DD/YYYYThhmmssZ,09/23/1976T111111Z
MM/DD/YYYYThhmmss+hh:mm,09/23/1976T111111+11:11
MM/DD/YYYYThhmmss+hhmm,09/23/1976T111111+1111
MM/DD/YYYYThhmmss+hh,09/23/1976T111111+11
MM/DD/YYYYThhmmss-hh:mm,09/23/1976T111111-11:11
MM/DD/YYYYThhmmss-hhmm,09/23/1976T111111-1111
MM/DD/YYYYThhmmss-hh,09/23/1976T111111-11
MM/DD/YYYY hhmmssZ,09/23/1976 111111Z
MM/DD/YYYY hhmmss+hh:mm,09/23/1976 111111+11:11
MM/DD/YYYY hhmmss+hhmm,09/23/1976 111111+1111
MM/DD/YYYY hhmmss+hh,09/23/1976 111111+11
MM/DD/YYYY hhmmss-hh:mm,09/23/1976 111111-11:11
MM/DD/YYYY hhmmss-hhmm,09/23/1976 111111-1111
MM/DD/YYYY hhmmss-hh,09/23/1976 111111-11
MM/DD/YYYYThhmmss.sssZ,09/23/1976T111111.888Z
MM/DD/YYYYThhmmss.sss+hh:mm,09/23/1976T111111.888+11:11
MM/DD/YYYYThhmmss.sss+hhmm,09/23/1976T111111.888+1111
MM/DD/YYYYThhmmss.sss+hh,09/23/1976T111111.888+11
MM/DD/YYYYThhmmss.sss-hh:mm,09/23/1976T111111.888-11:11
MM/DD/YYYYThhmmss.sss-hhmm,09/23/1976T111111.888-1111
MM/DD/YYYYThhmmss.sss-hh,09/23/1976T111111.888-11
MM/DD/YYYY hhmmss.sssZ,09/23/1976 111111.888Z
MM/DD/YYYY hhmmss.sss+hh:mm,09/23/1976 111111.888+11:11
MM/DD/YYYY hhmmss.sss+hhmm,09/23/1976 111111.888+1111
MM/DD/YYYY hhmmss.sss+hh,09/23/1976 111111.888+11
MM/DD/YYYY hhmmss.sss-hh:mm,09/23/1976 111111.888-11:11
MM/DD/YYYY hhmmss.sss-hhmm,09/23/1976 111111.888-1111
MM/DD/YYYY hhmmss.sss-hh,09/23/1976 111111.888-11
MM/DD/YYYYThh:mmZ,09/23/1976T11:11Z
MM/DD/YYYYThh:mm+hh:mm,09/23/1976T11:11+11:11
MM/DD/YYYYThh:mm+hhmm,09/23/1976T11:11+1111
MM/DD/YYYYThh:mm+hh,09/23/1976T11:11+11
MM/DD/YYYYThh:mm-hh:mm,09/23/1976T11:11-11:11
MM/DD/YYYYThh:mm-hhmm,09/23/1976T11:11-1111
MM/DD/YYYYThh:mm-hh,09/23/1976T11:11-11
MM/DD/YYYY hh:mmZ,09/23/1976 11:11Z
MM/DD/YYYY hh:mm+hh:mm,09/23/1976 11:11+11:11
MM/DD/YYYY hh:mm+hhmm,09/23/1976 11:11+1111
MM/DD/YYYY hh:mm+hh,09/23/1976 11:11+11
MM/DD/YYYY hh:mm-hh:mm,09/23/1976 11:11-11:11
MM/DD/YYYY hh:mm-hhmm,09/23/1976 11:11-1111
MM/DD/YYYY hh:mm-hh,09/23/1976 11:11-11
MM/DD/YYYYThh:mm:ssZ,09/23/1976T11:11:11Z
MM/DD/YYYYThh:mm:ss+hh:mm,09/23/1976T11:11:11+11:11
MM/DD/YYYYThh:mm:ss+hhmm,09/23/1976T11:11:11+1111
MM/DD/YYYYThh:mm:ss+hh,09/23/1976T11:11:11+11
MM/DD/YYYYThh:mm:ss-hh:mm,09/23/1976T11:11:11-11:11
MM/DD/YYYYThh:mm:ss-hhmm,09/23/1976T11:11:11-1111
MM/DD/YYYYThh:mm:ss-hh,09/23/1976T11:11:11-11
MM/DD/YYYY hh:mm:ssZ,09/23/1976 11:11:11Z
MM/DD/YYYY hh:mm:ss+hh:mm,09/23/1976 11:11:11+11:11
MM/DD/YYYY hh:mm:ss+hhmm,09/23/1976 11:11:11+1111
MM/DD/YYYY hh:mm:ss+hh,09/23/1976 11:11:11+11
MM/DD/YYYY hh:mm:ss-hh:mm,09/23/1976 11:11:11-11:11
MM/DD/YYYY hh:mm:ss-hhmm,09/23/1976 11:11:11-1111
MM/DD/YYYY hh:mm:ss-hh,09/23/1976 11:11:11-11
MM/DD/YYYYThh:mm:ss.sssZ,09/23/1976T11:11:11.888Z
MM/DD/YYYYThh:mm:ss.sss+hh:mm,09/23/1976T11:11:11.888+11:11
MM/DD/YYYYThh:mm:ss.sss+hhmm,09/23/1976T11:11:11.888+1111
MM/DD/YYYYThh:mm:ss.sss+hh,09/23/1976T11:11:11.888+11
MM/DD/YYYYThh:mm:ss.sss-hh:mm,09/23/1976T11:11:11.888-11:11
MM/DD/YYYYThh:mm:ss.sss-hhmm,09/23/1976T11:11:11.888-1111
MM/DD/YYYYThh:mm:ss.sss-hh,09/23/1976T11:11:11.888-11
MM/DD/YYYY hh:mm:ss.sssZ,09/23/1976 11:11:11.888Z
MM/DD/YYYY hh:mm:ss.sss+hh:mm,09/23/1976 11:11:11.888+11:11
MM/DD/YYYY hh:mm:ss.sss+hhmm,09/23/1976 11:11:11.888+1111
MM/DD/YYYY hh:mm:ss.sss+hh,09/23/1976 11:11:11.888+11
MM/DD/YYYY hh:mm:ss.sss-hh:mm,09/23/1976 11:11:11.888-11:11
MM/DD/YYYY hh:mm:ss.sss-hhmm,09/23/1976 11:11:11.888-1111
MM/DD/YYYY hh:mm:ss.sss-hh,09/23/1976 11:11:11.888-11
MM-DD-YYYYThhZ,09-23-1976T11Z
MM-DD-YYYYThh+hh:mm,09-23-1976T11+11:11
MM-DD-YYYYThh+hhmm,09-23-1976T11+1111
MM-DD-YYYYThh+hh,09-23-1976T11+11
MM-DD-YYYYThh-hh:mm,09-23-1976T11-11:11
MM-DD-YYYYThh-hhmm,09-23-1976T11-1111
MM-DD-YYYYThh-hh,09-23-1976T11-11
MM-DD-YYYY hhZ,09-23-1976 11Z
MM-DD-YYYY hh+hh:mm,09-23-1976 11+11:11
MM-DD-YYYY hh+hhmm,09-23-1976 11+1111
MM-DD-YYYY hh+hh,09-23-1976 11+11
MM-DD-YYYY hh-hh:mm,09-23-1976 11-11:11
MM-DD-YYYY hh-hhmm,09-23-1976 11-1111
MM-DD-YYYY hh-hh,09-23-1976 11-11
MM-DD-YYYYThhmmZ,09-23-1976T1111Z
MM-DD-YYYYThhmm+hh:mm,09-23-1976T1111+11:11
MM-DD-YYYYThhmm+hhmm,09-23-1976T1111+1111
MM-DD-YYYYThhmm+hh,09-23-1976T1111+11
MM-DD-YYYYThhmm-hh:mm,09-23-1976T1111-11:11
MM-DD-YYYYThhmm-hhmm,09-23-1976T1111-1111
MM-DD-YYYYThhmm-hh,09-23-1976T1111-11
MM-DD-YYYY hhmmZ,09-23-1976 1111Z
MM-DD-YYYY hhmm+hh:mm,09-23-1976 1111+11:11
MM-DD-YYYY hhmm+hhmm,09-23-1976 1111+1111
MM-DD-YYYY hhmm+hh,09-23-1976 1111+11
MM-DD-YYYY hhmm-hh:mm,09-23-1976 1111-11:11
MM-DD-YYYY hhmm-hhmm,09-23-1976 1111-1111
MM-DD-YYYY hhmm-hh,09-23-1976 1111-11
MM-DD-YYYYThhmmssZ,09-23-1976T111111Z
MM-DD-YYYYThhmmss+hh:mm,09-23-1976T111111+11:11
MM-DD-YYYYThhmmss+hhmm,09-23-1976T111111+1111
MM-DD-YYYYThhmmss+hh,09-23-1976T111111+11
MM-DD-YYYYThhmmss-hh:mm,09-23-1976T111111-11:11
MM-DD-YYYYThhmmss-hhmm,09-23-1976T111111-1111
MM-DD-YYYYThhmmss-hh,09-23-1976T111111-11
MM-DD-YYYY hhmmssZ,09-23-1976 111111Z
MM-DD-YYYY hhmmss+hh:mm,09-23-1976 111111+11:11
MM-DD-YYYY hhmmss+hhmm,09-23-1976 111111+1111
MM-DD-YYYY hhmmss+hh,09-23-1976 111111+11
MM-DD-YYYY hhmmss-hh:mm,09-23-1976 111111-11:11
MM-DD-YYYY hhmmss-hhmm,09-23-1976 111111-1111
MM-DD-YYYY hhmmss-hh,09-23-1976 111111-11
MM-DD-YYYYThhmmss.sssZ,09-23-1976T111111.888Z
MM-DD-YYYYThhmmss.sss+hh:mm,09-23-1976T111111.888+11:11
MM-DD-YYYYThhmmss.sss+hhmm,09-23-1976T111111.888+1111
MM-DD-YYYYThhmmss.sss+hh,09-23-1976T111111.888+11
MM-DD-YYYYThhmmss.sss-hh:mm,09-23-1976T111111.888-11:11
MM-DD-YYYYThhmmss.sss-hhmm,09-23-1976T111111.888-1111
MM-DD-YYYYThhmmss.sss-hh,09-23-1976T111111.888-11
MM-DD-YYYY hhmmss.sssZ,09-23-1976 111111.888Z
MM-DD-YYYY hhmmss.sss+hh:mm,09-23-1976 111111.888+11:11
MM-DD-YYYY hhmmss.sss+hhmm,09-23-1976 111111.888+1111
MM-DD-YYYY hhmmss.sss+hh,09-23-1976 111111.888+11
MM-DD-YYYY hhmmss.sss-hh:mm,09-23-1976 111111.888-11:11
MM-DD-YYYY hhmmss.sss-hhmm,09-23-1976 111111.888-1111
MM-DD-YYYY hhmmss.sss-hh,09-23-1976 111111.888-11
MM-DD-YYYYThh:mmZ,09-23-1976T11:11Z
MM-DD-YYYYThh:mm+hh:mm,09-23-1976T11:11+11:11
MM-DD-YYYYThh:mm+hhmm,09-23-1976T11:11+1111
MM-DD-YYYYThh:mm+hh,09-23-1976T11:11+11
MM-DD-YYYYThh:mm-hh:mm,09-23-1976T11:11-11:11
MM-DD-YYYYThh:mm-hhmm,09-23-1976T11:11-1111
MM-DD-YYYYThh:mm-hh,09-23-1976T11:11-11
MM-DD-YYYY hh:mmZ,09-23-1976 11:11Z
MM-DD-YYYY hh:mm+hh:mm,09-23-1976 11:11+11:11
MM-DD-YYYY hh:mm+hhmm,09-23-1976 11:11+1111
MM-DD-YYYY hh:mm+hh,09-23-1976 11:11+11
MM-DD-YYYY hh:mm-hh:mm,09-23-1976 11:11-11:11
MM-DD-YYYY hh:mm-hhmm,09-23-1976 11:11-1111
MM-DD-YYYY hh:mm-hh,09-23-1976 11:11-11
MM-DD-YYYYThh:mm:ssZ,09-23-1976T11:11:11Z
MM-DD-YYYYThh:mm:ss+hh:mm,09-23-1976T11:11:11+11:11
MM-DD-YYYYThh:mm:ss+hhmm,09-23-1976T11:11:11+1111
MM-DD-YYYYThh:mm:ss+hh,09-23-1976T11:11:11+11
MM-DD-YYYYThh:mm:ss-hh:mm,09-23-1976T11:11:11-11:11
MM-DD-YYYYThh:mm:ss-hhmm,09-23-1976T11:11:11-1111
MM-DD-YYYYThh:mm:ss-hh,09-23-1976T11:11:11-11
MM-DD-YYYY hh:mm:ssZ,09-23-1976 11:11:11Z
MM-DD-YYYY hh:mm:ss+hh:mm,09-23-1976 11:11:11+11:11
MM-DD-YYYY hh:mm:ss+hhmm,09-23-1976 11:11:11+1111
MM-DD-YYYY hh:mm:ss+hh,09-23-1976 11:11:11+11
MM-DD-YYYY hh:mm:ss-hh:mm,09-23-1976 11:11:11-11:11
MM-DD-YYYY hh:mm:ss-hhmm,09-23-1976 11:11:11-1111
MM-DD-YYYY hh:mm:ss-hh,09-23-1976 11:11:11-11
MM-DD-YYYYThh:mm:ss.sssZ,09-23-1976T11:11:11.888Z
MM-DD-YYYYThh:mm:ss.sss+hh:mm,09-23-1976T11:11:11.888+11:11
MM-DD-YYYYThh:mm:ss.sss+hhmm,09-23-1976T11:11:11.888+1111
MM-DD-YYYYThh:mm:ss.sss+hh,09-23-1976T11:11:11.888+11
MM-DD-YYYYThh:mm:ss.sss-hh:mm,09-23-1976T11:11:11.888-11:11
MM-DD-YYYYThh:mm:ss.sss-hhmm,09-23-1976T11:11:11.888-1111
MM-DD-YYYYThh:mm:ss.sss-hh,09-23-1976T11:11:11.888-11
MM-DD-YYYY hh:mm:ss.sssZ,09-23-1976 11:11:11.888Z
MM-DD-YYYY hh:mm:ss.sss+hh:mm,09-23-1976 11:11:11.888+11:11
MM-DD-YYYY hh:mm:ss.sss+hhmm,09-23-1976 11:11:11.888+1111
MM-DD-YYYY hh:mm:ss.sss+hh,09-23-1976 11:11:11.888+11
MM-DD-YYYY hh:mm:ss.sss-hh:mm,09-23-1976 11:11:11.888-11:11
MM-DD-YYYY hh:mm:ss.sss-hhmm,09-23-1976 11:11:11.888-1111
MM-DD-YYYY hh:mm:ss.sss-hh,09-23-1976 11:11:11.888-11
DDYYYYMMThhZ,23197609T11Z
DDYYYYMMThh+hh:mm,23197609T11+11:11
DDYYYYMMThh+hhmm,23197609T11+1111
DDYYYYMMThh+hh,23197609T11+11
DDYYYYMMThh-hh:mm,23197609T11-11:11
DDYYYYMMThh-hhmm,23197609T11-1111
DDYYYYMMThh-hh,23197609T11-11
DDYYYYMM hhZ,23197609 11Z
DDYYYYMM hh+hh:mm,23197609 11+11:11
DDYYYYMM hh+hhmm,23197609 11+1111
DDYYYYMM hh+hh,23197609 11+11
DDYYYYMM hh-hh:mm,23197609 11-11:11
DDYYYYMM hh-hhmm,23197609 11-1111
DDYYYYMM hh-hh,23197609 11-11
DDYYYYMMThhmmZ,23197609T1111Z
DDYYYYMMThhmm+hh:mm,23197609T1111+11:11
DDYYYYMMThhmm+hhmm,23197609T1111+1111
DDYYYYMMThhmm+hh,23197609T1111+11
DDYYYYMMThhmm-hh:mm,23197609T1111-11:11
DDYYYYMMThhmm-hhmm,23197609T1111-1111
DDYYYYMMThhmm-hh,23197609T1111-11
DDYYYYMM hhmmZ,23197609 1111Z
DDYYYYMM hhmm+hh:mm,23197609 1111+11:11
DDYYYYMM hhmm+hhmm,23197609 1111+1111
DDYYYYMM hhmm+hh,23197609 1111+11
DDYYYYMM hhmm-hh:mm,23197609 1111-11:11
DDYYYYMM hhmm-hhmm,23197609 1111-1111
DDYYYYMM hhmm-hh,23197609 1111-11
DDYYYYMMThhmmssZ,23197609T111111Z
DDYYYYMMThhmmss+hh:mm,23197609T111111+11:11
DDYYYYMMThhmmss+hhmm,23197609T111111+1111
DDYYYYMMThhmmss+hh,23197609T111111+11
DDYYYYMMThhmmss-hh:mm,23197609T111111-11:11
DDYYYYMMThhmmss-hhmm,23197609T111111-1111
DDYYYYMMThhmmss-hh,23197609T111111-11
DDYYYYMM hhmmssZ,23197609 111111Z
DDYYYYMM hhmmss+hh:mm,23197609 111111+11:11
DDYYYYMM hhmmss+hhmm,23197609 111111+1111
DDYYYYMM hhmmss+hh,23197609 111111+11
DDYYYYMM hhmmss-hh:mm,23197609 111111-11:11
DDYYYYMM hhmmss-hhmm,23197609 111111-1111
DDYYYYMM hhmmss-hh,23197609 111111-11
DDYYYYMMThhmmss.sssZ,23197609T111111.888Z
DDYYYYMMThhmmss.sss+hh:mm,23197609T111111.888+11:11
DDYYYYMMThhmmss.sss+hhmm,23197609T111111.888+1111
DDYYYYMMThhmmss.sss+hh,23197609T111111.888+11
DDYYYYMMThhmmss.sss-hh:mm,23197609T111111.888-11:11
DDYYYYMMThhmmss.sss-hhmm,23197609T111111.888-1111
DDYYYYMMThhmmss.sss-hh,23197609T111111.888-11
DDYYYYMM hhmmss.sssZ,23197609 111111.888Z
DDYYYYMM hhmmss.sss+hh:mm,23197609 111111.888+11:11
DDYYYYMM hhmmss.sss+hhmm,23197609 111111.888+1111
DDYYYYMM hhmmss.sss+hh,23197609 111111.888+11
